1,0.14106362,,,1,0.999000999
2,0.273478094,,,2,1.628134158
4,0.518000518,,,4,2.761668048
8,0.951022349,,,8,4.482294935
16,1.753770607,,,16,6.775067751
32,3.182686187,,,32,8.169934641
64,5.624296963,,,64,8.203445447
128,8.203445447,,,128,8.203445447
256,8.203445447,,,256,8.203445447
512,8.203445447,,,512,8.203445447
,,,,,
,,,,,
,,,,,
1,0.998901209,,,,
2,1.992428771,,,,
3,2.979737783,,,,
4,3.961965135,,,,
5,4.916420846,,,,
6,5.77700751,,,,
7,6.447453256,,,,
8,6.993006993,,,,
9,7.36377025,,,,
10,7.610350076,,,,
11,7.782101167,,,,
12,7.923930269,,,,
13,7.993605116,,,,
14,8.084074373,,,,
15,8.136696501,,,,
16,8.163265306,,,,
17,8.143322476,,,,
18,8.19000819,,,,
19,8.203445447,,,,
