,ROB,IQ,WIDTH,IPC
981,32,2,13,1.642036125
982,32,2,14,1.647446458
983,32,2,15,1.646361541
984,32,2,16,1.650709805
985,32,2,17,1.644195988
986,32,2,18,1.647175095
987,32,2,19,1.648532806
950,32,1,1,0.998901209
951,32,1,2,0.99930049
952,32,1,3,0.99930049
953,32,1,4,0.99930049
954,32,1,5,0.99930049
955,32,1,6,0.99930049
956,32,1,7,0.99930049
957,32,1,8,0.99930049
958,32,1,9,0.99930049
959,32,1,10,0.99930049
960,32,1,11,0.99930049
961,32,1,12,0.99930049
962,32,1,13,0.99930049
963,32,1,14,0.99930049
964,32,1,15,0.99930049
965,32,1,16,0.99930049
966,32,1,17,0.99930049
967,32,1,18,0.99930049
968,32,1,19,0.99930049
931,16,512,1,0.998901209
932,16,512,2,1.623903865
933,16,512,3,1.720282126
934,16,512,4,1.760873393
935,16,512,5,1.767721407
936,16,512,6,1.771479185
937,16,512,7,1.775883502
938,16,512,8,1.788908766
939,16,512,9,1.782213509
940,16,512,10,1.789228842
941,16,512,11,1.795977011
942,16,512,12,1.792114695
943,16,512,13,1.795332136
944,16,512,14,1.798884691
945,16,512,15,1.800828381
946,16,512,16,1.803751804
947,16,512,17,1.795332136
948,16,512,18,1.799208348
949,16,512,19,1.800504141
912,16,256,1,0.998901209
913,16,256,2,1.623903865
914,16,256,3,1.720282126
915,16,256,4,1.760873393
916,16,256,5,1.767721407
917,16,256,6,1.771479185
918,16,256,7,1.775883502
919,16,256,8,1.788908766
920,16,256,9,1.782213509
921,16,256,10,1.789228842
922,16,256,11,1.795977011
923,16,256,12,1.792114695
924,16,256,13,1.795332136
925,16,256,14,1.798884691
926,16,256,15,1.800828381
927,16,256,16,1.803751804
928,16,256,17,1.795332136
929,16,256,18,1.799208348
930,16,256,19,1.800504141
893,16,128,1,0.998901209
894,16,128,2,1.623903865
895,16,128,3,1.720282126
896,16,128,4,1.760873393
897,16,128,5,1.767721407
898,16,128,6,1.771479185
899,16,128,7,1.775883502
900,16,128,8,1.788908766
901,16,128,9,1.782213509
902,16,128,10,1.789228842
903,16,128,11,1.795977011
904,16,128,12,1.792114695
905,16,128,13,1.795332136
906,16,128,14,1.798884691
907,16,128,15,1.800828381
908,16,128,16,1.803751804
909,16,128,17,1.795332136
910,16,128,18,1.799208348
911,16,128,19,1.800504141
874,16,64,1,0.998901209
875,16,64,2,1.623903865
876,16,64,3,1.720282126
877,16,64,4,1.760873393
878,16,64,5,1.767721407
879,16,64,6,1.771479185
880,16,64,7,1.775883502
881,16,64,8,1.788908766
882,16,64,9,1.782213509
883,16,64,10,1.789228842
884,16,64,11,1.795977011
885,16,64,12,1.792114695
886,16,64,13,1.795332136
887,16,64,14,1.798884691
888,16,64,15,1.800828381
889,16,64,16,1.803751804
890,16,64,17,1.795332136
891,16,64,18,1.799208348
892,16,64,19,1.800504141
855,16,32,1,0.998901209
856,16,32,2,1.623903865
857,16,32,3,1.720282126
858,16,32,4,1.760873393
859,16,32,5,1.767721407
860,16,32,6,1.771479185
861,16,32,7,1.775883502
862,16,32,8,1.788908766
863,16,32,9,1.782213509
864,16,32,10,1.789228842
865,16,32,11,1.795977011
866,16,32,12,1.792114695
867,16,32,13,1.795332136
868,16,32,14,1.798884691
869,16,32,15,1.800828381
870,16,32,16,1.803751804
871,16,32,17,1.795332136
872,16,32,18,1.799208348
873,16,32,19,1.800504141
836,16,16,1,0.998901209
837,16,16,2,1.623903865
838,16,16,3,1.720282126
839,16,16,4,1.760873393
840,16,16,5,1.767721407
841,16,16,6,1.771479185
842,16,16,7,1.775883502
843,16,16,8,1.788908766
844,16,16,9,1.782213509
845,16,16,10,1.789228842
846,16,16,11,1.795977011
847,16,16,12,1.792114695
848,16,16,13,1.795332136
849,16,16,14,1.798884691
850,16,16,15,1.800828381
851,16,16,16,1.803751804
852,16,16,17,1.795332136
853,16,16,18,1.799208348
854,16,16,19,1.800504141
817,16,8,1,0.998901209
818,16,8,2,1.623903865
819,16,8,3,1.720282126
820,16,8,4,1.760873393
821,16,8,5,1.767721407
822,16,8,6,1.771479185
823,16,8,7,1.775883502
824,16,8,8,1.788908766
825,16,8,9,1.780309774
826,16,8,10,1.789228842
827,16,8,11,1.795332136
828,16,8,12,1.792114695
829,16,8,13,1.795009873
830,16,8,14,1.797591228
831,16,8,15,1.798884691
832,16,8,16,1.803101334
833,16,8,17,1.794365692
834,16,8,18,1.797914419
835,16,8,19,1.800180018
798,16,4,1,0.998901209
799,16,4,2,1.623640201
800,16,4,3,1.717327838
801,16,4,4,1.740947075
802,16,4,5,1.736412572
803,16,4,6,1.740644038
804,16,4,7,1.748863239
805,16,4,8,1.757778168
806,16,4,9,1.75192712
807,16,4,10,1.761183515
808,16,4,11,1.759943682
809,16,4,12,1.762114537
810,16,4,13,1.764913519
811,16,4,14,1.764602082
812,16,4,15,1.76584849
813,16,4,16,1.76709666
814,16,4,17,1.759943682
815,16,4,18,1.767721407
816,16,4,19,1.769598301
779,16,2,1,0.998901209
780,16,2,2,1.518602885
781,16,2,3,1.456664239
782,16,2,4,1.518141794
783,16,2,5,1.517911354
784,16,2,6,1.533272002
785,16,2,7,1.530221882
786,16,2,8,1.533272002
787,16,2,9,1.53256705
788,16,2,10,1.535626536
789,16,2,11,1.535626536
790,16,2,12,1.538224888
791,16,2,13,1.537751807
792,16,2,14,1.53704273
793,16,2,15,1.535626536
794,16,2,16,1.538461538
795,16,2,17,1.533977604
796,16,2,18,1.542971764
797,16,2,19,1.536806516
760,16,1,1,0.998901209
761,16,1,2,0.99930049
762,16,1,3,0.99930049
763,16,1,4,0.99930049
764,16,1,5,0.99930049
765,16,1,6,0.99930049
766,16,1,7,0.99930049
767,16,1,8,0.99930049
768,16,1,9,0.99930049
769,16,1,10,0.99930049
770,16,1,11,0.99930049
771,16,1,12,0.99930049
772,16,1,13,0.99930049
773,16,1,14,0.99930049
774,16,1,15,0.99930049
775,16,1,16,0.99930049
776,16,1,17,0.99930049
777,16,1,18,0.99930049
778,16,1,19,0.99930049
741,8,512,1,0.873133677
742,8,512,2,0.953561552
743,8,512,3,0.960799385
744,8,512,4,0.971817298
745,8,512,5,0.970402717
746,8,512,6,0.973709834
747,8,512,7,0.975324295
748,8,512,8,0.978665101
749,8,512,9,0.974658869
750,8,512,10,0.977421562
751,8,512,11,0.97837785
752,8,512,12,0.98000784
753,8,512,13,0.980392157
754,8,512,14,0.979911808
755,8,512,15,0.981257973
756,8,512,16,0.980776775
757,8,512,17,0.981643271
758,8,512,18,0.980969198
759,8,512,19,0.981546918
722,8,256,1,0.873133677
723,8,256,2,0.953561552
724,8,256,3,0.960799385
725,8,256,4,0.971817298
726,8,256,5,0.970402717
727,8,256,6,0.973709834
728,8,256,7,0.975324295
729,8,256,8,0.978665101
730,8,256,9,0.974658869
731,8,256,10,0.977421562
732,8,256,11,0.97837785
733,8,256,12,0.98000784
734,8,256,13,0.980392157
735,8,256,14,0.979911808
736,8,256,15,0.981257973
737,8,256,16,0.980776775
738,8,256,17,0.981643271
739,8,256,18,0.980969198
740,8,256,19,0.981546918
703,8,128,1,0.873133677
704,8,128,2,0.953561552
705,8,128,3,0.960799385
706,8,128,4,0.971817298
707,8,128,5,0.970402717
708,8,128,6,0.973709834
709,8,128,7,0.975324295
710,8,128,8,0.978665101
711,8,128,9,0.974658869
712,8,128,10,0.977421562
713,8,128,11,0.97837785
714,8,128,12,0.98000784
715,8,128,13,0.980392157
716,8,128,14,0.979911808
717,8,128,15,0.981257973
718,8,128,16,0.980776775
719,8,128,17,0.981643271
720,8,128,18,0.980969198
721,8,128,19,0.981546918
684,8,64,1,0.873133677
685,8,64,2,0.953561552
686,8,64,3,0.960799385
687,8,64,4,0.971817298
688,8,64,5,0.970402717
689,8,64,6,0.973709834
690,8,64,7,0.975324295
691,8,64,8,0.978665101
692,8,64,9,0.974658869
693,8,64,10,0.977421562
694,8,64,11,0.97837785
695,8,64,12,0.98000784
696,8,64,13,0.980392157
697,8,64,14,0.979911808
698,8,64,15,0.981257973
699,8,64,16,0.980776775
700,8,64,17,0.981643271
701,8,64,18,0.980969198
702,8,64,19,0.981546918
665,8,32,1,0.873133677
666,8,32,2,0.953561552
667,8,32,3,0.960799385
668,8,32,4,0.971817298
669,8,32,5,0.970402717
670,8,32,6,0.973709834
671,8,32,7,0.975324295
672,8,32,8,0.978665101
673,8,32,9,0.974658869
674,8,32,10,0.977421562
675,8,32,11,0.97837785
676,8,32,12,0.98000784
677,8,32,13,0.980392157
678,8,32,14,0.979911808
679,8,32,15,0.981257973
680,8,32,16,0.980776775
681,8,32,17,0.981643271
682,8,32,18,0.980969198
683,8,32,19,0.981546918
646,8,16,1,0.873133677
647,8,16,2,0.953561552
648,8,16,3,0.960799385
649,8,16,4,0.971817298
650,8,16,5,0.970402717
651,8,16,6,0.973709834
652,8,16,7,0.975324295
653,8,16,8,0.978665101
654,8,16,9,0.974658869
655,8,16,10,0.977421562
656,8,16,11,0.97837785
657,8,16,12,0.98000784
658,8,16,13,0.980392157
659,8,16,14,0.979911808
660,8,16,15,0.981257973
661,8,16,16,0.980776775
662,8,16,17,0.981643271
663,8,16,18,0.980969198
664,8,16,19,0.981546918
627,8,8,1,0.873133677
628,8,8,2,0.953561552
629,8,8,3,0.960799385
630,8,8,4,0.971817298
631,8,8,5,0.970402717
632,8,8,6,0.973709834
633,8,8,7,0.975324295
634,8,8,8,0.978665101
635,8,8,9,0.974658869
636,8,8,10,0.977421562
637,8,8,11,0.97837785
638,8,8,12,0.98000784
639,8,8,13,0.980392157
640,8,8,14,0.979911808
641,8,8,15,0.981257973
642,8,8,16,0.980776775
643,8,8,17,0.981643271
644,8,8,18,0.980969198
645,8,8,19,0.981546918
608,8,4,1,0.873133677
609,8,4,2,0.953561552
610,8,4,3,0.960799385
611,8,4,4,0.971534052
612,8,4,5,0.969086152
613,8,4,6,0.972668028
614,8,4,7,0.973709834
615,8,4,8,0.977230529
616,8,4,9,0.972762646
617,8,4,10,0.975800156
618,8,4,11,0.976944119
619,8,4,12,0.977899472
620,8,4,13,0.978282137
621,8,4,14,0.978282137
622,8,4,15,0.979048365
623,8,4,16,0.978856695
624,8,4,17,0.979911808
625,8,4,18,0.978665101
626,8,4,19,0.979048365
589,8,2,1,0.873133677
590,8,2,2,0.950751093
591,8,2,3,0.946969697
592,8,2,4,0.953470633
593,8,2,5,0.953925403
594,8,2,6,0.95456281
595,8,2,7,0.9544717
596,8,2,8,0.956937799
597,8,2,9,0.955018623
598,8,2,10,0.957670944
599,8,2,11,0.957487553
600,8,2,12,0.957212597
601,8,2,13,0.958221541
602,8,2,14,0.95757924
603,8,2,15,0.957762666
604,8,2,16,0.958129731
605,8,2,17,0.958956655
606,8,2,18,0.958497077
607,8,2,19,0.958772771
570,8,1,1,0.873133677
571,8,1,2,0.873286176
572,8,1,3,0.873286176
573,8,1,4,0.873286176
574,8,1,5,0.873286176
575,8,1,6,0.873286176
576,8,1,7,0.873286176
577,8,1,8,0.873286176
578,8,1,9,0.873286176
579,8,1,10,0.873286176
580,8,1,11,0.873286176
581,8,1,12,0.873286176
582,8,1,13,0.873286176
583,8,1,14,0.873286176
584,8,1,15,0.873286176
585,8,1,16,0.873286176
586,8,1,17,0.873286176
587,8,1,18,0.873286176
588,8,1,19,0.873286176
551,4,512,1,0.523505392
552,4,512,2,0.531264942
553,4,512,3,0.531490832
554,4,512,4,0.534016875
555,4,512,5,0.533134297
556,4,512,6,0.534130969
557,4,512,7,0.533931336
558,4,512,8,0.535045479
559,4,512,9,0.534302201
560,4,512,10,0.53498823
561,4,512,11,0.53498823
562,4,512,12,0.535303249
563,4,512,13,0.535131375
564,4,512,14,0.535245946
565,4,512,15,0.535331906
566,4,512,16,0.535561268
567,4,512,17,0.535589952
568,4,512,18,0.535475234
569,4,512,19,0.535532587
532,4,256,1,0.523505392
533,4,256,2,0.531264942
534,4,256,3,0.531490832
535,4,256,4,0.534016875
536,4,256,5,0.533134297
537,4,256,6,0.534130969
538,4,256,7,0.533931336
539,4,256,8,0.535045479
540,4,256,9,0.534302201
541,4,256,10,0.53498823
542,4,256,11,0.53498823
543,4,256,12,0.535303249
544,4,256,13,0.535131375
545,4,256,14,0.535245946
546,4,256,15,0.535331906
547,4,256,16,0.535561268
548,4,256,17,0.535589952
549,4,256,18,0.535475234
550,4,256,19,0.535532587
513,4,128,1,0.523505392
514,4,128,2,0.531264942
515,4,128,3,0.531490832
516,4,128,4,0.534016875
517,4,128,5,0.533134297
518,4,128,6,0.534130969
519,4,128,7,0.533931336
520,4,128,8,0.535045479
521,4,128,9,0.534302201
522,4,128,10,0.53498823
523,4,128,11,0.53498823
524,4,128,12,0.535303249
525,4,128,13,0.535131375
526,4,128,14,0.535245946
527,4,128,15,0.535331906
528,4,128,16,0.535561268
529,4,128,17,0.535589952
530,4,128,18,0.535475234
531,4,128,19,0.535532587
494,4,64,1,0.523505392
495,4,64,2,0.531264942
496,4,64,3,0.531490832
497,4,64,4,0.534016875
498,4,64,5,0.533134297
499,4,64,6,0.534130969
500,4,64,7,0.533931336
501,4,64,8,0.535045479
502,4,64,9,0.534302201
503,4,64,10,0.53498823
504,4,64,11,0.53498823
505,4,64,12,0.535303249
506,4,64,13,0.535131375
507,4,64,14,0.535245946
508,4,64,15,0.535331906
509,4,64,16,0.535561268
510,4,64,17,0.535589952
511,4,64,18,0.535475234
512,4,64,19,0.535532587
475,4,32,1,0.523505392
476,4,32,2,0.531264942
477,4,32,3,0.531490832
478,4,32,4,0.534016875
479,4,32,5,0.533134297
480,4,32,6,0.534130969
481,4,32,7,0.533931336
482,4,32,8,0.535045479
483,4,32,9,0.534302201
484,4,32,10,0.53498823
485,4,32,11,0.53498823
486,4,32,12,0.535303249
487,4,32,13,0.535131375
488,4,32,14,0.535245946
489,4,32,15,0.535331906
490,4,32,16,0.535561268
491,4,32,17,0.535589952
492,4,32,18,0.535475234
493,4,32,19,0.535532587
456,4,16,1,0.523505392
457,4,16,2,0.531264942
458,4,16,3,0.531490832
459,4,16,4,0.534016875
460,4,16,5,0.533134297
461,4,16,6,0.534130969
462,4,16,7,0.533931336
463,4,16,8,0.535045479
464,4,16,9,0.534302201
465,4,16,10,0.53498823
466,4,16,11,0.53498823
467,4,16,12,0.535303249
468,4,16,13,0.535131375
469,4,16,14,0.535245946
470,4,16,15,0.535331906
471,4,16,16,0.535561268
472,4,16,17,0.535589952
473,4,16,18,0.535475234
474,4,16,19,0.535532587
437,4,8,1,0.523505392
438,4,8,2,0.531264942
439,4,8,3,0.531490832
440,4,8,4,0.534016875
441,4,8,5,0.533134297
442,4,8,6,0.534130969
443,4,8,7,0.533931336
444,4,8,8,0.535045479
445,4,8,9,0.534302201
446,4,8,10,0.53498823
447,4,8,11,0.53498823
448,4,8,12,0.535303249
449,4,8,13,0.535131375
450,4,8,14,0.535245946
451,4,8,15,0.535331906
452,4,8,16,0.535561268
453,4,8,17,0.535589952
454,4,8,18,0.535475234
455,4,8,19,0.535532587
418,4,4,1,0.523505392
419,4,4,2,0.531264942
420,4,4,3,0.531490832
421,4,4,4,0.534016875
422,4,4,5,0.533134297
423,4,4,6,0.534130969
424,4,4,7,0.533931336
425,4,4,8,0.535045479
426,4,4,9,0.534302201
427,4,4,10,0.53498823
428,4,4,11,0.53498823
429,4,4,12,0.535303249
430,4,4,13,0.535131375
431,4,4,14,0.535245946
432,4,4,15,0.535331906
433,4,4,16,0.535561268
434,4,4,17,0.535589952
435,4,4,18,0.535475234
436,4,4,19,0.535532587
399,4,2,1,0.523505392
400,4,2,2,0.531264942
401,4,2,3,0.530616576
402,4,2,4,0.532396316
403,4,2,5,0.531716914
404,4,2,6,0.532396316
405,4,2,7,0.532169656
406,4,2,8,0.532821824
407,4,2,9,0.532169656
408,4,2,10,0.532935408
409,4,2,11,0.532935408
410,4,2,12,0.533049041
411,4,2,13,0.533049041
412,4,2,14,0.532935408
413,4,2,15,0.532935408
414,4,2,16,0.533248014
415,4,2,17,0.53321958
416,4,2,18,0.533134297
417,4,2,19,0.533077456
380,4,1,1,0.523505392
381,4,1,2,0.523505392
382,4,1,3,0.523505392
383,4,1,4,0.523505392
384,4,1,5,0.523505392
385,4,1,6,0.523505392
386,4,1,7,0.523505392
387,4,1,8,0.523505392
388,4,1,9,0.523505392
389,4,1,10,0.523505392
390,4,1,11,0.523505392
391,4,1,12,0.523505392
392,4,1,13,0.523505392
393,4,1,14,0.523505392
394,4,1,15,0.523505392
395,4,1,16,0.523505392
396,4,1,17,0.523505392
397,4,1,18,0.523505392
398,4,1,19,0.523505392
361,2,512,1,0.280630858
362,2,512,2,0.281056773
363,2,512,3,0.281072573
364,2,512,4,0.281270216
365,2,512,5,0.281309778
366,2,512,6,0.281278128
367,2,512,7,0.281349351
368,2,512,8,0.281381018
369,2,512,9,0.281404773
370,2,512,10,0.281436452
371,2,512,11,0.281388936
372,2,512,12,0.281381018
373,2,512,13,0.281436452
374,2,512,14,0.281460216
375,2,512,15,0.281468138
376,2,512,16,0.281507756
377,2,512,17,0.281491907
378,2,512,18,0.28147606
379,2,512,19,0.281507756
342,2,256,1,0.280630858
343,2,256,2,0.281056773
344,2,256,3,0.281072573
345,2,256,4,0.281270216
346,2,256,5,0.281309778
347,2,256,6,0.281278128
348,2,256,7,0.281349351
349,2,256,8,0.281381018
350,2,256,9,0.281404773
351,2,256,10,0.281436452
352,2,256,11,0.281388936
353,2,256,12,0.281381018
354,2,256,13,0.281436452
355,2,256,14,0.281460216
356,2,256,15,0.281468138
357,2,256,16,0.281507756
358,2,256,17,0.281491907
359,2,256,18,0.28147606
360,2,256,19,0.281507756
323,2,128,1,0.280630858
324,2,128,2,0.281056773
325,2,128,3,0.281072573
326,2,128,4,0.281270216
327,2,128,5,0.281309778
328,2,128,6,0.281278128
329,2,128,7,0.281349351
330,2,128,8,0.281381018
331,2,128,9,0.281404773
332,2,128,10,0.281436452
333,2,128,11,0.281388936
334,2,128,12,0.281381018
335,2,128,13,0.281436452
336,2,128,14,0.281460216
337,2,128,15,0.281468138
338,2,128,16,0.281507756
339,2,128,17,0.281491907
340,2,128,18,0.28147606
341,2,128,19,0.281507756
304,2,64,1,0.280630858
305,2,64,2,0.281056773
306,2,64,3,0.281072573
307,2,64,4,0.281270216
308,2,64,5,0.281309778
309,2,64,6,0.281278128
310,2,64,7,0.281349351
311,2,64,8,0.281381018
312,2,64,9,0.281404773
313,2,64,10,0.281436452
314,2,64,11,0.281388936
315,2,64,12,0.281381018
316,2,64,13,0.281436452
317,2,64,14,0.281460216
318,2,64,15,0.281468138
319,2,64,16,0.281507756
320,2,64,17,0.281491907
321,2,64,18,0.28147606
322,2,64,19,0.281507756
285,2,32,1,0.280630858
286,2,32,2,0.281056773
287,2,32,3,0.281072573
288,2,32,4,0.281270216
289,2,32,5,0.281309778
290,2,32,6,0.281278128
291,2,32,7,0.281349351
292,2,32,8,0.281381018
293,2,32,9,0.281404773
294,2,32,10,0.281436452
295,2,32,11,0.281388936
296,2,32,12,0.281381018
297,2,32,13,0.281436452
298,2,32,14,0.281460216
299,2,32,15,0.281468138
300,2,32,16,0.281507756
301,2,32,17,0.281491907
302,2,32,18,0.28147606
303,2,32,19,0.281507756
266,2,16,1,0.280630858
267,2,16,2,0.281056773
268,2,16,3,0.281072573
269,2,16,4,0.281270216
270,2,16,5,0.281309778
271,2,16,6,0.281278128
272,2,16,7,0.281349351
273,2,16,8,0.281381018
274,2,16,9,0.281404773
275,2,16,10,0.281436452
276,2,16,11,0.281388936
277,2,16,12,0.281381018
278,2,16,13,0.281436452
279,2,16,14,0.281460216
280,2,16,15,0.281468138
281,2,16,16,0.281507756
282,2,16,17,0.281491907
283,2,16,18,0.28147606
284,2,16,19,0.281507756
247,2,8,1,0.280630858
248,2,8,2,0.281056773
249,2,8,3,0.281072573
250,2,8,4,0.281270216
251,2,8,5,0.281309778
252,2,8,6,0.281278128
253,2,8,7,0.281349351
254,2,8,8,0.281381018
255,2,8,9,0.281404773
256,2,8,10,0.281436452
257,2,8,11,0.281388936
258,2,8,12,0.281381018
259,2,8,13,0.281436452
260,2,8,14,0.281460216
261,2,8,15,0.281468138
262,2,8,16,0.281507756
263,2,8,17,0.281491907
264,2,8,18,0.28147606
265,2,8,19,0.281507756
228,2,4,1,0.280630858
229,2,4,2,0.281056773
230,2,4,3,0.281072573
231,2,4,4,0.281270216
232,2,4,5,0.281309778
233,2,4,6,0.281278128
234,2,4,7,0.281349351
235,2,4,8,0.281381018
236,2,4,9,0.281404773
237,2,4,10,0.281436452
238,2,4,11,0.281388936
239,2,4,12,0.281381018
240,2,4,13,0.281436452
241,2,4,14,0.281460216
242,2,4,15,0.281468138
243,2,4,16,0.281507756
244,2,4,17,0.281491907
245,2,4,18,0.28147606
246,2,4,19,0.281507756
209,2,2,1,0.280630858
210,2,2,2,0.281056773
211,2,2,3,0.281072573
212,2,2,4,0.281270216
213,2,2,5,0.281309778
214,2,2,6,0.281278128
215,2,2,7,0.281349351
216,2,2,8,0.281381018
217,2,2,9,0.281404773
218,2,2,10,0.281436452
219,2,2,11,0.281388936
220,2,2,12,0.281381018
221,2,2,13,0.281436452
222,2,2,14,0.281460216
223,2,2,15,0.281468138
224,2,2,16,0.281507756
225,2,2,17,0.281491907
226,2,2,18,0.28147606
227,2,2,19,0.281507756
190,2,1,1,0.280630858
191,2,1,2,0.280630858
192,2,1,3,0.280630858
193,2,1,4,0.280630858
194,2,1,5,0.280630858
195,2,1,6,0.280630858
196,2,1,7,0.280630858
197,2,1,8,0.280630858
198,2,1,9,0.280630858
199,2,1,10,0.280630858
200,2,1,11,0.280630858
201,2,1,12,0.280630858
202,2,1,13,0.280630858
203,2,1,14,0.280630858
204,2,1,15,0.280630858
205,2,1,16,0.280630858
206,2,1,17,0.280630858
207,2,1,18,0.280630858
208,2,1,19,0.280630858
171,1,512,1,0.145486288
172,1,512,2,0.145486288
173,1,512,3,0.145486288
174,1,512,4,0.145486288
175,1,512,5,0.145486288
176,1,512,6,0.145486288
177,1,512,7,0.145486288
178,1,512,8,0.145486288
179,1,512,9,0.145486288
180,1,512,10,0.145486288
181,1,512,11,0.145486288
182,1,512,12,0.145486288
183,1,512,13,0.145486288
184,1,512,14,0.145486288
185,1,512,15,0.145486288
186,1,512,16,0.145486288
187,1,512,17,0.145486288
188,1,512,18,0.145486288
189,1,512,19,0.145486288
152,1,256,1,0.145486288
153,1,256,2,0.145486288
154,1,256,3,0.145486288
155,1,256,4,0.145486288
156,1,256,5,0.145486288
157,1,256,6,0.145486288
158,1,256,7,0.145486288
159,1,256,8,0.145486288
160,1,256,9,0.145486288
161,1,256,10,0.145486288
162,1,256,11,0.145486288
163,1,256,12,0.145486288
164,1,256,13,0.145486288
165,1,256,14,0.145486288
166,1,256,15,0.145486288
167,1,256,16,0.145486288
168,1,256,17,0.145486288
169,1,256,18,0.145486288
170,1,256,19,0.145486288
133,1,128,1,0.145486288
134,1,128,2,0.145486288
135,1,128,3,0.145486288
136,1,128,4,0.145486288
137,1,128,5,0.145486288
138,1,128,6,0.145486288
139,1,128,7,0.145486288
140,1,128,8,0.145486288
141,1,128,9,0.145486288
142,1,128,10,0.145486288
143,1,128,11,0.145486288
144,1,128,12,0.145486288
145,1,128,13,0.145486288
146,1,128,14,0.145486288
147,1,128,15,0.145486288
148,1,128,16,0.145486288
149,1,128,17,0.145486288
150,1,128,18,0.145486288
151,1,128,19,0.145486288
114,1,64,1,0.145486288
115,1,64,2,0.145486288
116,1,64,3,0.145486288
117,1,64,4,0.145486288
118,1,64,5,0.145486288
119,1,64,6,0.145486288
120,1,64,7,0.145486288
121,1,64,8,0.145486288
122,1,64,9,0.145486288
123,1,64,10,0.145486288
124,1,64,11,0.145486288
125,1,64,12,0.145486288
126,1,64,13,0.145486288
127,1,64,14,0.145486288
128,1,64,15,0.145486288
129,1,64,16,0.145486288
130,1,64,17,0.145486288
131,1,64,18,0.145486288
132,1,64,19,0.145486288
95,1,32,1,0.145486288
96,1,32,2,0.145486288
97,1,32,3,0.145486288
98,1,32,4,0.145486288
99,1,32,5,0.145486288
100,1,32,6,0.145486288
101,1,32,7,0.145486288
102,1,32,8,0.145486288
103,1,32,9,0.145486288
104,1,32,10,0.145486288
105,1,32,11,0.145486288
106,1,32,12,0.145486288
107,1,32,13,0.145486288
108,1,32,14,0.145486288
109,1,32,15,0.145486288
110,1,32,16,0.145486288
111,1,32,17,0.145486288
112,1,32,18,0.145486288
113,1,32,19,0.145486288
76,1,16,1,0.145486288
77,1,16,2,0.145486288
78,1,16,3,0.145486288
79,1,16,4,0.145486288
80,1,16,5,0.145486288
81,1,16,6,0.145486288
82,1,16,7,0.145486288
83,1,16,8,0.145486288
84,1,16,9,0.145486288
85,1,16,10,0.145486288
86,1,16,11,0.145486288
87,1,16,12,0.145486288
88,1,16,13,0.145486288
89,1,16,14,0.145486288
90,1,16,15,0.145486288
91,1,16,16,0.145486288
92,1,16,17,0.145486288
93,1,16,18,0.145486288
94,1,16,19,0.145486288
57,1,8,1,0.145486288
58,1,8,2,0.145486288
59,1,8,3,0.145486288
60,1,8,4,0.145486288
61,1,8,5,0.145486288
62,1,8,6,0.145486288
63,1,8,7,0.145486288
64,1,8,8,0.145486288
65,1,8,9,0.145486288
66,1,8,10,0.145486288
67,1,8,11,0.145486288
68,1,8,12,0.145486288
69,1,8,13,0.145486288
70,1,8,14,0.145486288
71,1,8,15,0.145486288
72,1,8,16,0.145486288
73,1,8,17,0.145486288
74,1,8,18,0.145486288
75,1,8,19,0.145486288
38,1,4,1,0.145486288
39,1,4,2,0.145486288
40,1,4,3,0.145486288
41,1,4,4,0.145486288
42,1,4,5,0.145486288
43,1,4,6,0.145486288
44,1,4,7,0.145486288
45,1,4,8,0.145486288
46,1,4,9,0.145486288
47,1,4,10,0.145486288
48,1,4,11,0.145486288
49,1,4,12,0.145486288
50,1,4,13,0.145486288
51,1,4,14,0.145486288
52,1,4,15,0.145486288
53,1,4,16,0.145486288
54,1,4,17,0.145486288
55,1,4,18,0.145486288
56,1,4,19,0.145486288
19,1,2,1,0.145486288
20,1,2,2,0.145486288
21,1,2,3,0.145486288
22,1,2,4,0.145486288
23,1,2,5,0.145486288
24,1,2,6,0.145486288
25,1,2,7,0.145486288
26,1,2,8,0.145486288
27,1,2,9,0.145486288
28,1,2,10,0.145486288
29,1,2,11,0.145486288
30,1,2,12,0.145486288
31,1,2,13,0.145486288
32,1,2,14,0.145486288
33,1,2,15,0.145486288
34,1,2,16,0.145486288
35,1,2,17,0.145486288
36,1,2,18,0.145486288
37,1,2,19,0.145486288
0,1,1,1,0.145486288
1,1,1,2,0.145486288
2,1,1,3,0.145486288
3,1,1,4,0.145486288
4,1,1,5,0.145486288
5,1,1,6,0.145486288
6,1,1,7,0.145486288
7,1,1,8,0.145486288
8,1,1,9,0.145486288
9,1,1,10,0.145486288
10,1,1,11,0.145486288
11,1,1,12,0.145486288
12,1,1,13,0.145486288
13,1,1,14,0.145486288
14,1,1,15,0.145486288
15,1,1,16,0.145486288
16,1,1,17,0.145486288
17,1,1,18,0.145486288
18,1,1,19,0.145486288
