,ROB,IQ,WIDTH,IPC
1724,512,1,15,0.99930049
1725,512,1,16,0.99930049
1726,512,1,17,0.99930049
1727,512,1,18,0.99930049
1728,512,1,19,0.99930049
1691,256,512,1,0.998901209
1692,256,512,2,1.993620415
1693,256,512,3,2.984183826
1694,256,512,4,3.969829297
1695,256,512,5,4.948045522
1696,256,512,6,5.793742758
1697,256,512,7,6.381620932
1698,256,512,8,6.793478261
1699,256,512,9,7.097232079
1700,256,512,10,7.256894049
1701,256,512,11,7.352941176
1702,256,512,12,7.462686567
1703,256,512,13,7.530120482
1704,256,512,14,7.507507508
1705,256,512,15,7.530120482
1706,256,512,16,7.56429652
1707,256,512,17,7.61614623
1708,256,512,18,7.610350076
1709,256,512,19,7.651109411
1672,256,256,1,0.998901209
1673,256,256,2,1.993620415
1674,256,256,3,2.984183826
1675,256,256,4,3.969829297
1676,256,256,5,4.948045522
1677,256,256,6,5.793742758
1678,256,256,7,6.381620932
1679,256,256,8,6.793478261
1680,256,256,9,7.097232079
1681,256,256,10,7.256894049
1682,256,256,11,7.352941176
1683,256,256,12,7.462686567
1684,256,256,13,7.530120482
1685,256,256,14,7.507507508
1686,256,256,15,7.530120482
1687,256,256,16,7.56429652
1688,256,256,17,7.61614623
1689,256,256,18,7.610350076
1690,256,256,19,7.651109411
1653,256,128,1,0.998901209
1654,256,128,2,1.993620415
1655,256,128,3,2.984183826
1656,256,128,4,3.969829297
1657,256,128,5,4.948045522
1658,256,128,6,5.793742758
1659,256,128,7,6.381620932
1660,256,128,8,6.793478261
1661,256,128,9,7.097232079
1662,256,128,10,7.256894049
1663,256,128,11,7.352941176
1664,256,128,12,7.462686567
1665,256,128,13,7.530120482
1666,256,128,14,7.507507508
1667,256,128,15,7.530120482
1668,256,128,16,7.56429652
1669,256,128,17,7.61614623
1670,256,128,18,7.610350076
1671,256,128,19,7.651109411
1634,256,64,1,0.998901209
1635,256,64,2,1.993620415
1636,256,64,3,2.984183826
1637,256,64,4,3.969829297
1638,256,64,5,4.948045522
1639,256,64,6,5.793742758
1640,256,64,7,6.381620932
1641,256,64,8,6.793478261
1642,256,64,9,7.097232079
1643,256,64,10,7.256894049
1644,256,64,11,7.352941176
1645,256,64,12,7.462686567
1646,256,64,13,7.530120482
1647,256,64,14,7.507507508
1648,256,64,15,7.530120482
1649,256,64,16,7.56429652
1650,256,64,17,7.61614623
1651,256,64,18,7.610350076
1652,256,64,19,7.651109411
1615,256,32,1,0.998901209
1616,256,32,2,1.993620415
1617,256,32,3,2.984183826
1618,256,32,4,3.969829297
1619,256,32,5,4.948045522
1620,256,32,6,5.793742758
1621,256,32,7,6.381620932
1622,256,32,8,6.793478261
1623,256,32,9,7.097232079
1624,256,32,10,7.256894049
1625,256,32,11,7.352941176
1626,256,32,12,7.462686567
1627,256,32,13,7.530120482
1628,256,32,14,7.507507508
1629,256,32,15,7.518796992
1630,256,32,16,7.56429652
1631,256,32,17,7.61614623
1632,256,32,18,7.610350076
1633,256,32,19,7.645259939
1596,256,16,1,0.998901209
1597,256,16,2,1.993620415
1598,256,16,3,2.984183826
1599,256,16,4,3.965107058
1600,256,16,5,4.918839154
1601,256,16,6,5.737234653
1602,256,16,7,6.337135615
1603,256,16,8,6.702412869
1604,256,16,9,6.983240223
1605,256,16,10,7.052186178
1606,256,16,11,7.01754386
1607,256,16,12,7.027406887
1608,256,16,13,7.067137809
1609,256,16,14,7.062146893
1610,256,16,15,7.052186178
1611,256,16,16,7.097232079
1612,256,16,17,7.137758744
1613,256,16,18,7.158196135
1614,256,16,19,7.194244604
1577,256,8,1,0.998901209
1578,256,8,2,1.993223042
